Layer,Duration (seconds)
total_output,0.28917939999882947
total_hidden,0.3271473999993759
total_training_0,1.1376773000010871
total_output,0.3093393000017386
total_hidden,0.31245209999906365
total_training_1,1.1227163999974437
total_output,0.2917755999988003
total_hidden,0.3146616999983962
total_training_2,1.1445977999974275
total_output,0.31442059999972116
total_hidden,0.310347599999659
total_training_3,1.1398632000018551
total_output,0.29772029999730876
total_hidden,0.3263150000020687
total_training_4,1.1492785000009462
total_output,0.2953778000010061
total_hidden,0.3294267999990552
total_training_5,1.148859499997343
total_output,0.29508890000215615
total_hidden,0.3136981999996351
total_training_6,1.1396567000010691
total_output,0.30830750000313856
total_hidden,0.3139633999999205
total_training_7,1.1196804999999586
total_output,0.28937190000215196
total_hidden,0.3138991999985592
total_training_8,1.1238758999970742
total_output,0.30900439999822993
total_hidden,0.31194269999832613
total_training_9,1.134593800001312
total_output,0.2961452999988978
total_hidden,0.31352569999944535
total_training_10,1.1324161999982607
total_output,0.2954318999982206
total_hidden,0.3150583999995433
total_training_11,1.1293802000000142
total_output,0.2944757000004756
total_hidden,0.3290594999998575
total_training_12,1.1462519000015163
total_output,0.30743299999812734
total_hidden,0.3153768999982276
total_training_13,1.1334525999991456
total_output,0.2922343999998702
total_hidden,0.31374219999997877
total_training_14,1.1291488000024401
20_100_execution_time,17.065717899997253
