Layer,Duration (seconds)
total_output,0.34040619999996125
total_hidden,1.1694367999998576
total_training_0,1.5098452000001998
total_output,0.339915099999871
total_hidden,1.1840261000002101
total_training_1,1.5239429000002929
total_output,0.33880100000033053
total_hidden,1.1765317999997933
total_training_2,1.5153341999998702
total_output,0.34069389999967825
total_hidden,1.1808828000002904
total_training_3,1.5215784000001804
total_output,0.3411572999998498
total_hidden,1.1758656000001793
total_training_4,1.5170255000002726
total_output,0.34260059999996884
total_hidden,1.1755622999999105
total_training_5,1.5181664000001547
total_output,0.3398515000003499
total_hidden,1.1682866000001013
total_training_6,1.508139999999912
total_output,0.3441178000002765
total_hidden,1.1723910999999134
total_training_7,1.516510500000095
total_output,0.34366700000009587
total_hidden,1.1766696999998203
total_training_8,1.520339000000149
total_output,0.34679589999996097
total_hidden,1.1738887000001341
total_training_9,1.52068700000018
total_output,0.33870040000010704
total_hidden,1.170056100000238
total_training_10,1.508758200000102
total_output,0.3422864999997728
total_hidden,1.1687144000002263
total_training_11,1.5110036999999465
total_output,0.3378499999998894
total_hidden,1.1874346999998124
total_training_12,1.525286000000051
total_output,0.34321810000028563
total_hidden,1.166048900000078
total_training_13,1.5092685999998139
total_output,0.3503491000001304
total_hidden,1.1811981999999261
total_training_14,1.5315494999999828
40_20_execution_time,22.787801400000262
